key	text	tooltip
#Loc;1;text/db/provincial_initiative_records.loc		
provincial_initiative_records_localised_name_mk_edict_all_religious_tolerance	Релігійна терпимість	true
provincial_initiative_records_localised_name_mk_edict_sunni_support_madaris	Підтримка медресе	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_semitic	Військове завзяття	true
provincial_initiative_records_localised_name_att_edict_barbarian_resettlement	Переселення	true
provincial_initiative_records_localised_name_mk_edict_all_militia_drilling	Військова підготовка ополчення	true
provincial_initiative_records_localised_name_att_edict_manichaeist_induction_hearers	Ритуал посвячення	true
provincial_initiative_records_localised_name_att_edict_arian_docrines_arius	Вчення Арія	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_judaism	Військове завзяття	true
provincial_initiative_records_localised_name_mk_edict_all_rural_weigh_houses	Будівництво сільських вбиралень	true
provincial_initiative_records_localised_name_att_edict_eastern_enlightenment	Мудрість Сходу	true
provincial_initiative_records_localised_name_att_edict_sands_trade_judaism	Торгівля і промисловість	true
provincial_initiative_records_localised_name_att_edict_manichaeist_exaltation_elect	Екзальтація обраних	true
provincial_initiative_records_localised_name_att_edict_sands_trade_semitic	Торгівля і промисловість	true
provincial_initiative_records_localised_name_att_edict_celtic_power_taranis	Сила Тараніса	true
provincial_initiative_records_localised_name_att_edict_slavic_sacred_winds	Священні вітри	true
provincial_initiative_records_localised_name_att_edict_slavic_peruns_glory	Слава Перуна	true
provincial_initiative_records_localised_name_att_edict_rome_east_rural_development	Аграрний розвиток	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_teachings	Вчення Заратустри	true
provincial_initiative_records_localised_name_mk_edict_all_levy_taxes	Стягнення податків	true
provincial_initiative_records_localised_name_att_edict_celtic_aegis_toutatis	Щит Тевтата	true
provincial_initiative_records_localised_name_att_edict_tengri_wisdom	Мудрість Тенгрі	true
provincial_initiative_records_localised_name_att_edict_catholic_ecumenical_matters	Питання екуменізму	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_blessing_minerva	Благословення Мінерви	true
provincial_initiative_records_localised_name_att_edict_tengri_glory_ancestors	Слава предків	true
provincial_initiative_records_localised_name_att_edict_rome_east_urbanisation	Урбанізація	true
provincial_initiative_records_localised_name_att_edict_germanic_might_tiw	Могутність Тюра	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_pursuit_truth	Погоня за істиною	true
provincial_initiative_records_localised_name_att_edict_arian_almsgiving	Милостиня	true
provincial_initiative_records_localised_name_att_edict_barbarian_warrior_rites	Військові обряди	true
provincial_initiative_records_localised_name_mk_edict_all_organize_raids	Організовані нальоти	true
provincial_initiative_records_localised_name_att_edict_orthodox_progress	Християнська освіта	true
provincial_initiative_records_localised_name_mk_edict_sunni_enforce_jizya	Збільшення джизьї	true
provincial_initiative_records_localised_name_mk_edict_all_settle_tribes	Розселення племен	true
provincial_initiative_records_localised_name_att_edict_orthodox_divine_liturgy	Божественна літургія	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_will_jupiter	Воля Юпітера	true
provincial_initiative_records_localised_name_att_edict_catholic_mission	Християнська місія	true
provincial_initiative_records_localised_name_att_edict_rome_west_bread_circuses	Хліб і видовища	true
provincial_initiative_records_localised_name_att_edict_eastern_mass_conscription	Масовий призов	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_east_chruch	Військове завзяття	true
provincial_initiative_records_localised_name_mk_edict_all_local_autonomy	Розширення повноважень місцевої влади	true
provincial_initiative_records_localised_name_mk_edict_all_raise_levies	Найм новобранців	true
provincial_initiative_records_localised_name_att_edict_rome_west_auxiliary_recruitment	Підтримка ауксилії	true
provincial_initiative_records_localised_name_att_edict_sands_trade_east_church	Торгівля і промисловість	true
provincial_initiative_records_localised_name_att_edict_germanic_judgment_wodan	Суд Одіна	true
