key	text	tooltip
#Loc;1;text/db/dilemmas.loc		
dilemmas_localised_title_att_subject_religious_zoroastrian_illegal_practice_1	Заборонені ритуали	true
dilemmas_localised_title_att_subject_politics_nomad_hostage	Заручник	true
dilemmas_localised_title_att_subject_politics_roman_hostage	Перспективний юнак	true
dilemmas_localised_title_att_subject_domestic_nordic_the_flyting_1	Змагання в лихослів'ї	true
dilemmas_localised_description_att_dilemma_military_none_war_child_1	Прогулюючись по руїнах захопленого поселення, ваш полководець почув дитячий плач. Серед обвуглених руїн виявилося живе немовля!	true
dilemmas_localised_title_att_subject_religious_none_the_true_cross_1	Істинний Хрест	true
dilemmas_localised_title_att_subject_religious_orthodox_illegal_practice_1	Заборонені ритуали	true
dilemmas_localised_title_att_subject_religious_hun_lightning	Блискавка не б'є двічі	true
dilemmas_localised_title_att_eos_religious_event_rebellion_att_fact_himyar_att_rel_judaism	Раввін - зречення	true
dilemmas_localised_description_cha_dilemma_viking_1_cha_fact_northumbria	Втомившись від нескінченних нальотів, король Нортумбрії запропонував вам нову угоду. Він готовий наділити вас землею або обдарувати золотом, аби ви припинили грабувати його королівство. Прийнявши його умови, ви укладете з Нортумбрією мир, але хто заважає вам погодитися, а потім порушити договір? Може, і сам король замишляє подібне? З іншого боку, ви можете продовжити грабувати англійців і вселяти жах в їхні серця. Вибір за вами!	true
dilemmas_localised_description_ollam_ri_picti	Віки утисків підірвали дух кельтів, та легенди про їхнє славетне минуле й досі збурюють уяву відважних юнаків. От і молодий король залишив столицю прадавнього острова, щоб здобути знання про майбутнє свого народу. Він неодмінно дізнається його долю — або викує її власноруч!	true
dilemmas_localised_title_att_bel_request_justinian_photius_1	Прохання Юстиніана: Фотій	true
dilemmas_localised_description_att_subject_religious_none_the_relic_seller_1	Столичний торговець реліквіями нещодавно втринадцяте продав гілку, за допомогою якої втопили святого Саву! Він пропонує вам гроші, щоб ви закрили на це очі.	true
dilemmas_localised_description_slav_dilemma_anteans_1	Як і було обіцяно, Хілібідій постав перед вами і засвідчив, що є досить впливовим римським полководцем. Але якщо це так, то чому ми про нього досі не чули? Як би там не було, він обіцяє нам прихильність Риму в обмін на свою свободу. Справа вкрай сумнівна, але остаточне рішення приймати вам...	true
dilemmas_localised_description_slav_dilemma_anteans_2	Жахливі новини, мій пане! Полководець Хілібідій, якого ми відпустили до Риму, виявився брехуном! Інший раб з табору зізнався під страхом смерті, що цей «Хілібідій» насправді звичайний розбійник і злодій. Він уже майже дістався до римських кордонів, але ми ще можемо встигнути його перехопити.	true
dilemmas_localised_description_att_dilemma_religious_christian_the_manichean_heresy_1	Недавній синод постановив, що дуалістичні погляди маніхеїв бентежать уми благочестивих християн. Згідно з наказом Папи Римського, маніхейські єретики повинні бути вигнані з наших земель.	true
dilemmas_localised_description_att_subject_religious_arian_illegal_practice_1	Цей чоловік порушив закон, проповідуючи аріанство на міському ринку.	true
dilemmas_localised_description_att_subject_politics_barb_nomad_tribal_loyalty	У племені назріває розкол. Дві групи вже влаштували бійку з метою з'ясувати, хто кровожерливіший!	true
dilemmas_localised_title_att_subject_domestic_civil_master_agitator	Агітатор аграріїв	true
dilemmas_localised_title_att_subject_religious_barb_bloodless	Безкровний баран	true
dilemmas_localised_title_att_bel_request_antoninia_rumours_1	Прохання Антоніни: плітки	true
dilemmas_localised_title_cha_dilemma_mercia_1	Набуття таланту	true
dilemmas_localised_title_att_political_action_dilemma_assassinate_wound_suspicious	Підозріла травма	true
dilemmas_localised_description_att_subject_military_nomad_master_swordsmith	Наші грабіжники взяли в полон досвідченого майстра. Він каже, що вміє кувати смертоносні криві мечі, якими воюють воїни Сходу. Як ми поступимо з ним?	true
dilemmas_localised_description_ybor_level_A_alamanni	Молодий воїн Ібор із вашого почту не знаходить спокою у палаці. Ведений жагою до подвигів, він просить дозволу вирушити в дикі землі. Ви не хочете відпускати його, але розумієте: мандри сформують і загартують його характер. Що ви подаруєте Ібору на прощання?	true
dilemmas_localised_description_att_subject_religious_manichaeism_pilgrims_1	У Месопотамії, де народився Мані, щорічно проводиться велике маніхейське свято Бема. Чи варто нам терпіти таке на своїй землі?	true
dilemmas_localised_title_att_subject_politics_civil_hostage	Протеже	true
dilemmas_localised_title_att_subject_religious_zoroastrian_pilgrims_1	Паломники	true
dilemmas_localised_description_att_subject_religious_hun_lightning	Перед вами з'явилася людина в димлячому одязі. Він стверджує, що його вразила блискавка. Можливо, це знак особливої милості Тенгрі?	true
dilemmas_localised_title_att_subject_domestic_all_stone_mason	Каменяр	true
dilemmas_localised_title_slav_dilemma_sclaveneans_1	Полювання на гунів	true
