key	text	tooltip
#Loc;1;text/db/agent_actions.loc		
agent_actions_localised_action_description_att_agent_action_spy_hinder_province_corruption	[[col:yellow]]Підвищення корупції в зазначеній провінції.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_compromise_security	[[col:yellow]]Зниження безпеки провінції із зазначеним поселенням.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_province_discourage_populace	Залякування населення	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_province_corruption	Корупція	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_harass_army	[[col:yellow]]Завдання незначних втрат декільком загонам зазначеної армії.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_bargain_supplies	Закупівля припасів	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_assault_unit	[[col:yellow]]Завдання шкоди певному загону в зазначеній армії.[[/col]]	true
agent_actions_localised_action_description_cha_agent_action_bargain_supplies	[[col:yellow]]Підвищення швидкості поповнення армій в цьому регіоні та можливість поповнення на території противника.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_passive_ability_infiltrate	[[col:yellow]]Агент залишається невидимим на мапі кампанії, поки його не виявлять війська противника.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_harass_army	Виснаження армії	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_misdirect_army	[[col:yellow]]Зменшення дальності переміщення вказаної армії на мапі кампанії.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_ruin_provisions	Псування припасів	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_ruin_stores	[[col:yellow]]Зменшення виробництва їжі та збільшення забруднення в зазначеному поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_passive_ability_infiltrate	Проникнення	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_misdirect_army	Дезінформація військ	true
agent_actions_localised_action_description_cha_agent_action_extort	[[col:yellow]]Перевербування зазначеного агента.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_extort	Примус	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_compromise_command	Саботаж командування	true
agent_actions_localised_action_name_att_agent_action_champion_passive_ability_military_supply	Постачання військ	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_assault	[[col:yellow]]Вбивство зазначеного персонажа.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_passive_ability_military_supply	[[col:yellow]]Підвищення швидкості поповнення армій в цьому регіоні і можливість поповнення на території противника.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_assist_army_military_training	Військова підготовка	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_compromise_command	[[col:yellow]] Зниження характеристик зазначеного командира.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_assist_army_military_training	[[col:yellow]]Підвищення досвіду військ, що входять до підпорядкованої армії. [[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_ruin_provisions	[[col:yellow]]Прискорене накопичення втоми всіма загонами зазначеної армії. [[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_trap	[[col:yellow]]Затримання зазначеного агента. [[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_army_encourage_mutiny	Розпалювання заколоту	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_assassinate	Замовне вбивство	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_misdirect_workforce	[[col:yellow]]Збільшення часу будівництва в зазначеному поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_settlement_exploit_corruption	Користування корупцією	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_encourage_mutiny	[[col:yellow]]Зниження згуртованості зазначеної армії.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_character_trap	Пастка	true
agent_actions_localised_action_description_att_agent_action_dignitary_passive_ability_spread_religion	[[col:yellow]]Навернення жителів цієї провінції до віри агента.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_character_assassinate	[[col:yellow]]Вбивство зазначеного персонажа.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_compromise_security	Підрив безпеки	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_settlement_exploit_corruption	[[col:yellow]]Частина багатства зазначеної провінції розтрачується через корупцію.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_encourage_dissent	Підбурювання	true
agent_actions_localised_action_description_cha_agent_action_sabotage_building	[[col:yellow]]Завдання істотної шкоди певній споруді в зазначеному поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_assist_province_call_to_arms	Заклик до зброї	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_settlement_preach_intolerance	Проповідь нетерпимості	true
agent_actions_localised_action_description_cha_agent_action_sabotage_walls	[[col:yellow]]Створення одного або декількох проломів в стінах вказаного поселення.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_character_betray	[[col:yellow]]Вбивство вказаного персонажа.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_preach_intolerance	[[col:yellow]]Збільшення релігійного невдоволення в провінції з вказаним поселенням.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_sabotage_walls	Пошкодження стін	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_settlement_sabotage_gates	[[col:yellow]]Створення одного або декількох проломів в стінах вказаного поселення.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_army_preach_doom	[[col:yellow]]Зниження бойового духу всіх загонів у вказаній армії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_province_discourage_populace	[[col:yellow]]Погіршення громадського порядку в цій провінції.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_deceive	Обман	true
agent_actions_localised_action_description_cha_agent_action_assassinate	[[col:yellow]]Вбивство зазначеного персонажа.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_assault_unit	Напад на загін	true
agent_actions_localised_action_name_att_agent_action_spy_assist_army_scout_ahead	Передовий дозор	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_character_distract	Відволікання	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_settlement_ruin_stores	Руйнування складів	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_character_extort	[[col:yellow]]Перевербування зазначеного агента.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_character_deceive	[[col:yellow]]Затримання вказаного агента.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_character_persuade	Переконання	true
agent_actions_localised_action_description_att_agent_action_spy_hinder_army_gather_intelligence	[[col:yellow]]Розкриття інформації про невідомі вам володіння вказаної фракції.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_assist_province_inspire_populace	Натхнення населення	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_settlement_sabotage_building	Пошкодження споруди	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_settlement_raid_settlement	[[col:yellow]]Завдання незначної шкоди декільком спорудам у вказаному поселенні.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_assist_province_inspire_populace	[[col:yellow]] Поліпшення громадського порядку в цій провінції. [[/col]]	true
agent_actions_localised_action_description_cha_agent_action_spy_network	[[col:yellow]]Підвищення шансу виявлення замаскованих агентів і армій у вказаній провінції. [[/col]]	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_settlement_raid_settlement	Напад на поселення	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_character_assault	Напад	true
agent_actions_localised_action_description_cha_agent_action_gather_intelligence	[[col:yellow]]Підвищення шансу виявлення замаскованих агентів і армій у вказаній провінції.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_settlement_sabotage_building	[[col:yellow]]Завдання істотної шкоди певній споруді у вказаному поселенні.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_assist_province_investigate_corruption	Розслідування корупції	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_character_distract	[[col:yellow]]Затримання вказаного агента.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_assist_army_inspire_troops	[[col:yellow]]Підвищення згуртованості своєї армії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_assist_army_scout_ahead	[[col:yellow]]Збільшення дальності переміщення підкореної армії на мапі кампанії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_character_persuade	[[col:yellow]]Перевербування зазначеного агента.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_spy_assist_province_investigate_corruption	[[col:yellow]]Зниження корупції в зазначеній провінції.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_army_gather_intelligence	Збір інформації	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_settlement_misdirect_workforce	Перешкоджання робітникам	true
agent_actions_localised_action_name_att_agent_action_spy_hinder_character_extort	Примус	true
agent_actions_localised_action_name_att_agent_action_dignitary_passive_ability_spread_religion	Проповідь релігії	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_army_sabotage_army	[[col:yellow]]Зменшення броні, боєзапасу та сили атаки всіх загонів у зазначеній армії.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_province_guerrilla	[[col:yellow]]Зменшення чисельності військ, які можна найняти в цій провінції.[[/col]]	true
agent_actions_localised_action_description_att_agent_action_dignitary_hinder_settlement_encourage_dissent	[[col:yellow]]Погіршення громадського порядку в провінції з вказаним поселенням.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_sabotage_building	Пошкодження споруди	true
agent_actions_localised_action_name_att_agent_action_dignitary_assist_army_inspire_troops	Натхнення військ	true
agent_actions_localised_action_name_cha_agent_action_assassinate	Замовне вбивство	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_province_guerrilla	Дії партизан	true
agent_actions_localised_action_name_att_agent_action_champion_hinder_army_sabotage_army	Диверсія в армії	true
agent_actions_localised_action_description_att_agent_action_champion_assist_province_call_to_arms	[[col:yellow]]Збільшення чисельності військ, які можна найняти в цій провінції.[[/col]]	true
agent_actions_localised_action_name_cha_agent_action_exploit_corruption	Користування корупцією	true
agent_actions_localised_action_description_att_agent_action_champion_hinder_character_intimidate	[[col:yellow]]Перевербування зазначеного агента.[[/col]]	true
agent_actions_localised_action_name_att_agent_action_dignitary_hinder_character_betray	Зрада	true
