key	text	tooltip
#Loc;1;text/db/ancillaries.loc		
ancillaries_onscreen_name_att_eos_anc_companion_eastern_eunuch_guard	Страж-євнух	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_gian	Татуйований божевільний	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_old	Доблесний ветеран	true
ancillaries_colour_text_att_sp_item_priest_amulet_of_woden	Один! Один! Даруй мені свій проникливий погляд!	true
ancillaries_onscreen_name_att_cha_companion_all_general_foodtaster	Дегустатор	true
ancillaries_colour_text_att_cha_apparel_all_general_mailcoat_short	Коротка і легка кольчуга може врятувати життя тому, хто потрапив у засідку.	true
ancillaries_colour_text_att_sp_apparel_general_robe_of_glory	Самі небесні ангели покажуть праведнику шлях до оновленого Раю.	true
ancillaries_onscreen_name_mk_companion_all_general_shieldbearer_east	Щитоносець	true
ancillaries_onscreen_name_att_sp_item_priest_urceus	Глечик	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_thorns	Якби не дар Господній, ці шипи б давно згнили.	true
ancillaries_onscreen_name_att_cha_apparel_all_general_mail_curtain	Бармиця	true
ancillaries_onscreen_name_att_sp_item_veteran_verutum	Верутум	true
ancillaries_colour_text_att_sp_item_general_wooden_lathed_bow	Дерев'яні накладки помітно підвищують потужність цього лука.	true
ancillaries_colour_text_att_sp_item_general_ciborium_	Гаразд, хто тут ще хоче причаститися?	true
ancillaries_colour_text_att_sp_item_priest_depiction_of_the_first_creation	Мати життя послала людину на битву з демоном жадібності.	true
ancillaries_onscreen_name_att_item_barbarian_golden_arm_ring	Золоте кільце	true
ancillaries_onscreen_name_att_companion_barbarian_childhood_friend	Друг дитинства	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_splinter	Володіння цією реліквією наближає до Бога.	true
ancillaries_onscreen_name_att_sp_item_priest_gladiator_sweat	Піт гладіатора	true
ancillaries_colour_text_att_sp_apparel_priest_sudreh	Цей одяг, білий, немов Аша, допомагає мені йти шляхом добра.	true
ancillaries_colour_text_att_cha_companion_avar_general_gepid_slave	Переможені втрачають всі права, крім права служити переможцям.	true
ancillaries_onscreen_name_att_sp_companion_priest_tatar_ubyr	Татарський убир	true
