key	text	tooltip
#Loc;1;text/db/ui_unit_bullet_point_enums.loc		
ui_unit_bullet_point_enums_onscreen_name_att_wardogs	Є бойові собаки	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming	Потужний таран	true
ui_unit_bullet_point_enums_onscreen_name_att_charge_strong	Нищівний натиск	true
ui_unit_bullet_point_enums_onscreen_name_att_average_negative	Середн.	true
ui_unit_bullet_point_enums_onscreen_name_att_very_low	Мін.	true
ui_unit_bullet_point_enums_onscreen_name_att_average_positive	Середн.	true
ui_unit_bullet_point_enums_onscreen_name_att_ramming_heavy	Нищівний таран	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon_shp	Є стрілецька зброя	true
ui_unit_bullet_point_enums_onscreen_name_att_greek_fire	Грецький вогонь	true
ui_unit_bullet_point_enums_onscreen_name_att_high	Висок.	true
ui_unit_bullet_point_enums_onscreen_name_att_has_ranged_weapon	Є стрілецька зброя	true
ui_unit_bullet_point_enums_onscreen_name_att_good	Доб.	true
ui_unit_bullet_point_enums_onscreen_name_att_poor	Пог.	true
ui_unit_bullet_point_enums_onscreen_name_att_very_poor	Дуж. пог.	true
ui_unit_bullet_point_enums_onscreen_name_att_scattershot	Стріляють трьома снарядами	true
ui_unit_bullet_point_enums_onscreen_name_att_very_high	Макс.	true
ui_unit_bullet_point_enums_onscreen_name_att_low	Низьк.	true
ui_unit_bullet_point_enums_onscreen_name_att_ammo_refill	Можливе поповнення боєзапасу	true
ui_unit_bullet_point_enums_onscreen_name_att_has_grenade	Є метальні снаряди	true
ui_unit_bullet_point_enums_onscreen_name_att_encourage	Підвищують бойовий дух союзників	true
ui_unit_bullet_point_enums_onscreen_name_att_excellent	Відм.	true
ui_unit_bullet_point_enums_onscreen_name_att_unit_small	Невеликий загін	true
