key	text	tooltip
#Loc;1;text/db/mkscript_missions.loc		
missions_localised_description_mk_mission_crusades_defend_aegyptus_alexandria	Був скликаний хрестовий похід з метою завоювання Александрії. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_aegyptus_oxyrhynchus	Був скликаний хрестовий похід з метою завоювання Каїра. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_africa_carthago	Був скликаний хрестовий похід з метою завоювання Тунісу. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_aquitania_elusa	Був скликаний хрестовий похід з метою завоювання Тулузи. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_baetica_corduba	Був скликаний хрестовий похід з метою завоювання Кордови. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_britannia_superior_londinium	Був скликаний хрестовий похід з метою завоювання Лондона. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_carthaginensis_toletum	Був скликаний хрестовий похід з метою завоювання Толедо. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_germania_uburzis	Був скликаний хрестовий похід з метою завоювання Франкфурта. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_italia_roma	Був скликаний хрестовий похід з метою завоювання Риму. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_lugdunensis_turonum	Був скликаний хрестовий похід з метою завоювання Парижа. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_macedonia_thessalonica	Був скликаний хрестовий похід з метою завоювання Фессалонік. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_palaestinea_aelia_capitolina	Був скликаний хрестовий похід з метою завоювання Єрусалима. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_syria_antiochia	Був скликаний хрестовий похід з метою завоювання Антіохії. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_tarraconensis_tarraco	Був скликаний хрестовий похід з метою завоювання Барселони. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defend_thracia_constantinopolis	Був скликаний хрестовий похід з метою завоювання Константинополя. Як власник цього міста ви повинні не допустити цього. Потрібно зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_defense_cairo	З моменту завоювання Єрусалима Саладіном невірні мріяли відвоювати його назад. Хоча великий хрестовий похід в 1187 році закінчився глухим кутом, а наступний хрестовий похід в 1204 році закінчився для римлян катастрофою, невірні не відмовилися від своєї мети. Тепер вони прагнуть вторгнутися на нашу батьківщину, в Єгипет, як на плацдарм для наступу в Левант. Треба зупинити хрестоносців за будь-яку ціну.	true
missions_localised_description_mk_mission_crusades_take_aegyptus_alexandria	Був скликаний хрестовий похід з метою завоювання Александрії. Приєднавшись до цього хрестового походу, ви тепер повинні відбити місто у іновірців.	true
