key	text	tooltip
#Loc;1;text/db/character_trait_levels.loc		
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_1	Допитливий	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_3	І так зійде	true
character_trait_levels_onscreen_name_att_trait_general_personality_all_arse_2	Гордий	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_2	Кровожерливий	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_3	Полонених не брати!	true
character_trait_levels_onscreen_name_att_trait_general_military_all_high_casualties_1	Жорстокий	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_2	Мої руки зв'язані. Правила є правила.	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_3	Милосердний уряд - це оксюморон.	true
character_trait_levels_colour_text_att_trait_general_government_all_authoritarian_1	Уряд - суворий, люблячий батько для народу.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_1	Незважаючи на всі старання, його засідки завжди проходять не так.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_2	З таким же успіхом він міг би вивісити знак: «Попереду засідка».	true
character_trait_levels_colour_text_att_trait_general_military_army_all_ambusher_bad_3	Він неспроможний влаштувати навіть гульбище в таверні, не кажучи вже про раптовий наліт.	true
character_trait_levels_colour_text_att_trait_general_physical_all_innate_handsome_1	Я бачу, що ти дивишся. Так, я намагаюся.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_2	Про його оборонні здібності ходять легенди. У поганому сенсі.	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_3	Горе спіткає будь-яке місто, залишене на цього чоловіка!	true
character_trait_levels_colour_text_att_trait_general_military_army_all_siege_defender_bad_1	Здавши ворогам не одне укріплене місто, він щоразу рятувався втечею.	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_5	Натиснути на весла V	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_4	Натиснути на весла IV	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_1	Натиснути на весла I	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_3	Натиснути на весла III	true
character_trait_levels_onscreen_name_att_trait_general_ability_all_power_2	Натиснути на весла II	true
