key	text	tooltip
#Loc;1;text/db/mkscript_campaign_payload_ui_details.loc		
campaign_payload_ui_details_description_mk_dummy_crusades_mission_issued	Отримано завдання	true
campaign_payload_ui_details_description_mk_dummy_payload_byzantine_empire_name	Створіть Візантійську імперію.	true
campaign_payload_ui_details_description_mk_dummy_payload_goldenhorde_name	Створіть Золоту Орду.	true
campaign_payload_ui_details_description_mk_dummy_payload_ilkhanate_name	Створіть Ільханат.	true
campaign_payload_ui_details_description_mk_dummy_payload_armenia_name	Створіть Вірменське царство.	true
campaign_payload_ui_details_description_mk_dummy_payload_polish_kingdom_name	Створіть Королівство Польське.	true
campaign_payload_ui_details_description_mk_dummy_payload_spanish_kingdom_name	Створіть Королівство Іспанія.	true
campaign_payload_ui_details_description_mk_dummy_story_england_magna_carta_civil_war	Відмовившись підписати Велику хартію вольностей, ви розгнівали своїх васалів.	true
campaign_payload_ui_details_description_mk_dummy_hre_imperial_authority_increase_25	Підвищення на 25 од. рівня Імперської влади	true
campaign_payload_ui_details_description_mk_dummy_hre_imperial_authority_increase	Підвищення рівня Імперської влади	true
campaign_payload_ui_details_description_mk_dummy_mission_crusades_jerusalem_gifted	Єрусалим передається Єрусалимському королівству.	true
campaign_payload_ui_details_description_mk_dummy_hre_imperial_authority_decrease	Зниження рівня Імперської влади	true
campaign_payload_ui_details_description_mk_dummy_story_france_peace_with_england	Укладено мир з Англією. На якийсь час...	true
campaign_payload_ui_details_description_mk_dummy_mission_england_take_normandy_success	Прапори анжуйців знову майоріють над замками Нормандії. За такого розвитку подій жоден дворянин не посміє вважати короля Англії слабаком.	true
campaign_payload_ui_details_description_mk_dummy_hre_faction_state_change_puppet	Фракція стає Маріонетковою.	true
campaign_payload_ui_details_description_mk_dummy_hre_faction_state_change_discontent	Фракція стає Незадоволеною.	true
campaign_payload_ui_details_description_mk_dummy_hre_faction_state_change_loyal	Фракція стає Відданою.	true
campaign_payload_ui_details_description_mk_dummy_hre_faction_state_change_neutral	Фракція стає Байдужою.	true
campaign_payload_ui_details_description_mk_dummy_mission_england_war_with_france_failure	Король відсиджується у своєму замку, занадто сильно турбуючись за свій трон, щоб дати бій французам. Наслідки напевно дадуть про себе знати найближчим часом...	true
campaign_payload_ui_details_description_mk_dummy_payload_mongol_invasion	Незабаром зі сходу вторгнеться Монгольська імперія.	true
campaign_payload_ui_details_description_mk_dummy_dilemma_pope_in_power	Папа Римський залишається при владі!	true
campaign_payload_ui_details_description_mk_dummy_byzantium_greek_fire_lost	Секрет «грецького вогню» втрачено назавжди.	true
campaign_payload_ui_details_description_mk_dummy_byzantium_greek_fire_saved	Секрет «грецького вогню» збережено. На якийсь час.	true
campaign_payload_ui_details_description_mk_dummy_payload_timurid_invasion	Незабаром зі сходу вторгнеться імперія Тимуридів.	true
campaign_payload_ui_details_description_mk_dummy_crusades_war_continues	Війна за Святу землю триває.	true
campaign_payload_ui_details_description_mk_dummy_story_aragon_support_toulouse	Тулуза набирає нову армію.	true
campaign_payload_ui_details_description_mk_dummy_mission_england_take_normandy_failure	Не маючи можливості привести свої армії до перемоги, король повинен повернутися в Англію лікувати свої рани. Наслідки напевно дадуть про себе знати найближчим часом...	true
campaign_payload_ui_details_description_mk_dummy_mission_england_war_with_france_success	Оголошення війни Франції.	true
campaign_payload_ui_details_description_mk_dummy_story_aragon_side_with_toulouse	Оголошення війни Франції.	true
campaign_payload_ui_details_description_mk_dummy_story_france_rebels_war	Оголошення війни англійським бунтівникам.	true
campaign_payload_ui_details_description_mk_dummy_story_sicily_war_with_hre	Оголошення війни Священній Римській імперії.	true
campaign_payload_ui_details_description_mk_dummy_story_aragon_side_with_france	Оголошення війни Тулузі.	true
campaign_payload_ui_details_description_mk_dummy_story_england_magna_carta_signed	З підписанням Великої хартії вольностей криза була попереджена.	true
campaign_payload_ui_details_description_mk_dummy_crusades_give_up_land	Ви відмовляєтеся від усіх нещодавно придбаних володінь на користь Єрусалимського королівства.	true
campaign_payload_ui_details_description_mk_dummy_crusades_give_up_only_cairo	Ви віддаєте Єрусалимському королівству тільки мету хрестового походу.	true
campaign_payload_ui_details_description_mk_dummy_mission_crusades_can_keep_lands	Вам дозволено зберегти свої володіння	true
campaign_payload_ui_details_description_mk_dummy_payload_serbian_kingdom_name	Ви заснували Королівство Сербія.	true
campaign_payload_ui_details_description_mk_dummy_dilemma_hajj_delay_1_year	Ви відкладаєте паломництво на рік.	true
campaign_payload_ui_details_description_mk_dummy_dilemma_hajj_delay_5_years	Ви відкладаєте паломництво на п'ять років.	true
campaign_payload_ui_details_description_mk_dummy_dilemma_hajj_go	Ви вирушаєте в паломництво до Мекки	true
campaign_payload_ui_details_description_mk_dummy_story_france_rebels_ally	Ви підтримуєте англійських бунтівників.	true
campaign_payload_ui_details_description_mk_dummy_crusades_join_crusade	Ваша фракція приєдналася до хрестового походу!	true
campaign_payload_ui_details_description_mk_dummy_mission_religious_catholic_pope_favour_increase_big	Ваша репутація в очах Папи значно поліпшується.	true
campaign_payload_ui_details_description_mk_dummy_mission_religious_catholic_pope_favour_increase	Ваша репутація в очах Папи покращується.	true
campaign_payload_ui_details_description_mk_dummy_crusades_pope_favour_decrease_big	Ваша репутація в очах Папи різко погіршується.	true
campaign_payload_ui_details_description_mk_dummy_mission_religious_catholic_pope_favour_decrease_big	Ваша репутація в очах Папи значно погіршується.	true
campaign_payload_ui_details_description_mk_dummy_crusades_pope_favour_decrease_small	Ваша репутація в очах Папи погіршується.	true
campaign_payload_ui_details_description_mk_dummy_mission_religious_catholic_pope_favour_decrease	Ваша репутація в очах Папи погіршується.	true
