key	text	tooltip
#Loc;1;text/db/missions.loc		
missions_localised_description_cha_objective_cha_charlemagne_primary_1_seal_2	Дрібні правителі подібні до псів, що шматують тіло Європи. Істинний король повстане і розжене їх.	true
missions_localised_description_cha_objective_cha_charlemagne_primary_2_seal_3	Перш ніж істинний король затвердить свою владу над землею, його ім'я повинно прозвучати з усіх чотирьох сторін.	true
missions_localised_description_cha_objective_cha_charlemagne_primary_3_seal_4	Вороги б'ються об армію істинного короля, немов хвилі об берег. Рішучий, він встоїть під їхніми ударами.	true
missions_localised_description_cha_objective_cha_charlemagne_primary_4_seal_5	Здійснюючи великі діяння, король створює спадщину, непідвладну часу і смерті.	true
missions_localised_description_cha_objective_cha_charlemagne_primary_5_seal_6	Слава Європи - в єдності. Нехай же ніхто не посміє відокремитися від великої держави, створеної істинним королем!	true
missions_localised_title_att_senate_western_roman_construct_bch_roman_west_military_1	Військове будівництво	true
missions_localised_title_att_religious_manichaeism_convert_region_1	Релігійна вимога	true
missions_localised_title_att_objective_suebi_primary_2_seal_3	Розділ II: Розорення	true
missions_localised_title_att_objective_suebi_primary_1_seal_2	Глава I: Підготовка	true
missions_localised_title_att_objective_suebi_primary_4_seal_5	Розділ IV: Відплата	true
missions_localised_title_att_objective_suebi_primary_3_seal_4	Розділ III: Спустошення	true
missions_localised_title_att_objective_suebi_primary_5_seal_6	Глава V: Виправдання	true
missions_localised_title_att_religious_tengri_assassinate_character_1	Релігійна вимога	true
missions_localised_title_att_mp_coop_loyalist	Спільна перемога лоялістів	true
missions_localised_title_mk_religious_baltic_declare_war_1	Релігійна вимога	true
missions_localised_description_att_bel_request_antoninia_ioannina_1	Мій дорогий чоловіче, пам'ятаєш, я просила тебе зробити хоч що-небудь. Так от, я мала на увазі, що ти маєш вбити Анастазія за те, що він збезчестив нашу доньку. Ми не можемо залишити це без наслідків.	true
missions_localised_description_att_objective_axum_primary_1_seal_2	Вони готувалися до війни.	true
missions_localised_description_att_objective_axum_primary_2_seal_3	Аттіла народився з темряви і відчаю.	true
missions_localised_description_att_objective_axum_primary_3_seal_4	Залиш будь-яку надію.	true
missions_localised_title_att_senate_nomadic_research_technology_military_1	Прогрес військової справи	true
missions_localised_description_att_objective_axum_primary_4_seal_5	Немає пощади грішникам.	true
missions_localised_description_att_objective_axum_primary_5_seal_6	Час відплати настав.	true
missions_localised_title_att_diplomatic_nomadic_mercenary_engage_force_army_1	Контракт із найманцями	true
missions_localised_description_att_religious_germanic_assassinate_character_1	Він говорить мовою лжебогів! Його потрібно усунути!	true
missions_localised_description_att_religious_orthodox_assassinate_character_1	Він зіб'є віруючих зі шляху істинного обіцянками і промовами про лжебогів.  Патріарх просить нас усунути його.	true
missions_localised_description_pro_destroy_rebels_petrodava	Жителі Петродави повстали і хочуть вигнати нас зі своїх земель. Їм потрібно показати, що ми тут господарі, а не вони.	true
missions_localised_description_att_senate_nomadic_research_technology_civil_1	Нам слід вкладати час і гроші в управління містами, щоб наші сім'ї також отримували користь від наших перемог.	true
missions_localised_title_att_diplomatic_eastern_roman_blockade_port_1	Взаємодія на війні	true
missions_localised_title_att_diplomatic_western_roman_blockade_port_1	Взаємодія на війні	true
missions_localised_description_att_religious_manichaeism_construct_bch_religion_manichaeist_major_1	Наші священники просять нас побудувати храм одночасно і для Атара, і для Абана, щоб віряни могли кидати жертвоприношення в очищувальний вогонь.	true
missions_localised_title_att_objective_bel_vandals_primary_5_seal_6	Глава V: Нестримний	true
missions_localised_title_att_objective_bel_vandals_primary_4_seal_5	Розділ IV: Новий світ	true
missions_localised_title_att_objective_bel_vandals_primary_3_seal_4	Розділ III: Королівство на руїнах імперії	true
missions_localised_title_att_objective_bel_vandals_primary_2_seal_3	Глава II: Вільний і самостійний	true
missions_localised_title_att_objective_bel_vandals_primary_1_seal_2	Глава I: По праву наше	true
missions_localised_title_att_objective_caledonians_primary_1_seal_2	Глава I: Підготовка	true
missions_localised_title_att_objective_caledonians_primary_2_seal_3	Розділ II: Розорення	true
missions_localised_title_att_objective_caledonians_primary_3_seal_4	Розділ III: Спустошення	true
missions_localised_title_att_objective_caledonians_primary_4_seal_5	Розділ IV: Відплата	true
missions_localised_title_att_objective_caledonians_primary_5_seal_6	Глава V: Виправдання	true
