key	text	tooltip
#Loc;1;text/db/scripted_objectives.loc		
scripted_objectives_localised_text_Att.HB.Ravenna.Objective_01	Захищайте Равенну від обложних військ.	true
scripted_objectives_localised_text_Att.HB.Huns.Objective_01	Переможіть гунську армію.	true
scripted_objectives_localised_text_Att.HB.Vandals.Objective_01	Переможіть вандальську армію.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_180	Відкрийте вікно фракції.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_181	Перейдіть на вкладку «Звіт».	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_182	Почніть переселення.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_160	Виберіть Апулу.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_161	Відкривши вікно найму агента, ви побачите список всіх доступних персонажів цього типу.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_162	Найміть розвідника.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_174	Закрийте вікно дипломатії.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_170	Відкрийте вікно дипломатії.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_171	Почніть дипломатичні переговори із Західною Римською імперією.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_172	Запропонуйте укласти торговельну угоду.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_140	Прийміть або відхиліть пропозицію остготів.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_150	Відкрийте вікно фракції.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_120	Виберіть армію вестготів.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_121	Перегляньте доступні режими.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_130	Відкрийте стратегічну оглядову мапу.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_100	Виберіть свою армію.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_101	Відкрийте вікно відомостей про армію.	true
scripted_objectives_localised_text_Att.Pro.Camp.Objective_102	Розподіліть доступні очки навичок.	true
