key	text	tooltip
#Loc;1;text/db/building_sets.loc		
building_sets_onscreen_name_att_building_set_civic	Цивільна влада	true
building_sets_onscreen_name_att_building_set_water	Санітарія	true
building_sets_onscreen_name_att_building_set_newhorde_hunnic	Немає даних	true
building_sets_onscreen_name_rom_building_set_capital	Столиця	true
building_sets_onscreen_name_rom_building_set_zadruga	Задруга	true
building_sets_onscreen_name_rom_building_set_industry	Виробництво	true
building_sets_onscreen_name_att_building_set_industry	Виробництво	true
building_sets_onscreen_name_att_building_set_resource	Ресурс	true
building_sets_onscreen_name_att_building_set_hospital	Лікарня	true
building_sets_onscreen_name_att_building_set_military	Армія	true
building_sets_onscreen_name_rom_building_set_military	Армія	true
building_sets_onscreen_name_mk_building_set_agriculture_sheep	Землеробство	true
building_sets_onscreen_name_rom_building_set_religion	Релігія	true
building_sets_onscreen_name_att_building_set_religion	Релігія	true
building_sets_onscreen_name_att_building_set_city	Поселення	true
building_sets_onscreen_name_att_building_set_port	Порт	true
building_sets_onscreen_name_rom_building_set_port	Порт	true
building_sets_onscreen_name_att_building_set_newhorde_barbarian	Немає даних	true
building_sets_onscreen_name_rom_building_set_city_major	Місто	true
building_sets_onscreen_name_rom_building_set_city_minor	Місто	true
building_sets_onscreen_name_rom_building_set_gold	Золото	true
building_sets_onscreen_name_att_building_set_agriculture	Землеробство	true
building_sets_onscreen_name_rom_building_set_city_centre	Місто	true
building_sets_onscreen_name_rom_building_set_sanitation	Санітарія	true
building_sets_onscreen_name_rom_building_set_agriculture	Землеробство	true
building_sets_onscreen_name_att_building_set_legendary	Легенд.	true
