key	text	tooltip
#Loc;1;text/db/campaign_map_attritions.loc		
campaign_map_attritions_unit_card_tooltip_att_att_mountain	Гори підступні. Швидше спускайтеся на рівнину, щоб уникнути небойових втрат.	true
campaign_map_attritions_unit_immunity_text_att_att_desertion	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieged	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_besieging	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_blockaded	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_besieged	Населення поселення в облозі вимирає від голоду. Будь-якими засобами зніміть облогу - хоч зброєю, хоч дипломатією!	true
campaign_map_attritions_campaign_map_tooltip_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_disease	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_mountain	Цей загін не несе небоєвих втрат на гірських перевалах.	true
campaign_map_attritions_campaign_map_tooltip_att_att_high_sea	У відкритому морі кораблі будуть нести небоєві втрати.	true
campaign_map_attritions_campaign_map_tooltip_att_att_mountain	На гірських перевалах війська будуть нести небоєві втрати.	true
campaign_map_attritions_unit_immunity_text_att_att_high_sea	Цей загін не несе небоєвих втрат у відкритому морі.	true
campaign_map_attritions_campaign_map_tooltip_att_att_swamp	У болотистих землях війська будуть нести небойові втрати.	true
campaign_map_attritions_unit_immunity_text_att_att_blockading	placeholder	true
campaign_map_attritions_unit_immunity_text_att_att_sabotage	placeholder	true
campaign_map_attritions_unit_card_tooltip_att_att_sabotage	Ворожий агент провів вдалу диверсію в наших військах, і ми понесли тяжкі втрати. Знайдіть винуватця наших бід і вбийте його!	true
campaign_map_attritions_campaign_map_tooltip_att_att_besieged	Це поселення несе небойові втрати, поки знаходиться в облозі.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_2	У холодних областях війська будуть нести небойові втрати.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_3	У холодних областях війська будуть нести небойові втрати.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_1	У холодних областях війська будуть нести небойові втрати.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_4	У холодних областях війська будуть нести небойові втрати.	true
campaign_map_attritions_campaign_map_tooltip_att_att_snow_5	У холодних ділянках війська будуть нести небойові втрати.	true
campaign_map_attritions_unit_immunity_text_att_att_regionless	placeholder	true
