key	text	tooltip
#Loc;1;text/db/building_chains.loc		
building_chains_encyclopedia_description_att_bch_nomad_noble	Урядові споруди об'єднують орду підвищуючи згуртованість її військ і забезпечуючи додатковий дохід від культури.	true
building_chains_encyclopedia_description_att_bch_eastern_sassanid_port_minor	Placeholder description	true
building_chains_chain_tooltip_att_bch_religion_other	Релігія	true
building_chains_chain_tooltip_att_bch_roman_west_port_minor	Порт	true
building_chains_encyclopedia_name_att_bch_all_industry_major	Виробництво: місто	true
building_chains_encyclopedia_name_att_bch_all_industry_minor	Виробництво: містечко	true
building_chains_encyclopedia_description_mk_bch_nommigs_settlement	Ланцюжок поселень слугує кочовикам осердям табору забезпечуючи багатство для прожитку й сприяючи зростанню орди.	true
building_chains_chain_tooltip_att_bch_slav_farming	Садиба	true
building_chains_chain_tooltip_att_bch_religion_zoroastrian_major_fire_faction	Релігія	true
building_chains_chain_tooltip_bel_bch_all_agriculture	Землеробство	true
building_chains_chain_tooltip_mk_bch_arakingdoms_water_major	Санітарія	true
building_chains_chain_tooltip_mk_bch_arakingdoms_water_minor	Санітарія	true
building_chains_encyclopedia_name_bel_bch_all_industry_major	Виробництво: місто	true
building_chains_encyclopedia_name_bel_bch_all_industry_minor	Виробництво: містечко	true
building_chains_encyclopedia_name_bel_bch_roman_city_major	Місто	true
building_chains_encyclopedia_name_bel_bch_roman_city_minor	Містечко	true
building_chains_chain_tooltip_mk_bch_ortkingdoms_water_major	Санітарія	true
building_chains_chain_tooltip_mk_bch_ortkingdoms_water_minor	Санітарія	true
building_chains_chain_tooltip_bel_bch_religion_other	Релігія	true
building_chains_encyclopedia_name_att_bch_barbmigs_community	Переселенці: суспільство	true
building_chains_chain_tooltip_att_slav_bch_zadruga	Задруга	true
building_chains_encyclopedia_name_mk_bch_nommigs_settlement	Поселення кочівників	true
building_chains_encyclopedia_name_att_bch_eastern_sassanid_military_infantry	Місто: найм піхоти	true
building_chains_encyclopedia_name_att_bch_eastmigs_community	Переселенці: суспільство	true
building_chains_chain_tooltip_mk_bch_itakingdoms_water_major	Санітарія	true
building_chains_chain_tooltip_mk_bch_itakingdoms_water_minor	Санітарія	true
building_chains_encyclopedia_description_att_bch_eastmigs_industry	Ланцюжок ремесел містить споруди які приносять дохід від виробництва і дають інші фінансові переваги.	true
building_chains_chain_tooltip_att_bch_roman_east_port_minor	Порт	true
building_chains_encyclopedia_name_cha_bch_monastery	Монастир	true
building_chains_encyclopedia_name_mk_bch_religion_bogomilism_major	Релігія	true
building_chains_encyclopedia_name_mk_bch_religion_bogomilism_minor	Релігія: місто	true
building_chains_chain_tooltip_mk_bch_mookingdoms_town	Місто	true
building_chains_encyclopedia_description_cha_bch_mill	Млини збільшують дохід від сільського господарства і комерції в своїй провінції.	true
building_chains_encyclopedia_description_cha_bch_gold	Ланцюжки ресурсів дозволяють використовувати цінні товари доступні в регіоні	true
building_chains_chain_tooltip_bel_bch_camp_sanitation	Санітарія	true
building_chains_encyclopedia_description_cha_bch_salt	Ланцюжки ресурсів дозволяють використовувати цінні товари доступні в регіоні	true
building_chains_encyclopedia_description_cha_bch_barracks_mus	Казарми можна зводити в будь-яких містах або містечках. Вони дозволяють наймати більшість видів піхоти кінноти і стрільців.	true
