key	text	tooltip
#Loc;1;text/db/agent_localisations.loc		
agent_localisations_text_agent_attribute_tooltip_subterfuge	Хитрість||Здатність агента до обману та шпигунства.	true
agent_localisations_text_general_profession_admiral	Флотоводець	true
agent_localisations_text_general_profession_general	Полководець	true
agent_localisations_text_general_attribute_tooltip_subterfuge	Хитрість||Знання полководця зі стратегії та тактики	true
agent_localisations_text_agent_attribute_tooltip_zeal	Завзяття||Здатність агента діяти рішуче й агресивно.	true
agent_localisations_text_agent_localisation_action_deployed_cannot_undeploy	Цей агент розміщений тут.\\n\\\n[[col:red]]На цьому ходу змінити його розташування неможливо.[[/col]]	true
agent_localisations_text_general_profession_emperor	Імператор	true
agent_localisations_text_agent_localisation_action_execution_status_agent_cap_reached	[[col:red]]У вас вже максимальне число агентів цього типу. \\n[[/col]]	true
agent_localisations_text_agent_action_panel_champion_method_hinder_settlement	Шкода поселенню	true
agent_localisations_text_agent_action_panel_dignitary_method_hinder_character	Замовне вбивство	true
agent_localisations_text_agent_action_panel_spy_method_hinder_agent	Маніпуляція агентом	true
agent_localisations_text_agent_action_panel_chance_manipulation_steal	Шанс зманіпулювати:	true
agent_localisations_text_agent_attribute_tooltip_authority	Авторитет||Привабливість агента та його вміння маніпулювати людьми.	true
agent_localisations_text_agent_outcome_opportune_failure_money_refund	Вони зуміли відшкодувати витрати, пов'язані з невдалою спробою.	true
agent_localisations_text_agent_action_panel_spy_method_hinder_army	Перешкоди армії	true
agent_localisations_text_agent_disband_dialog_heading	Звільнити агента	true
agent_localisations_text_agent_localisation_action_undeployed_at_sea_cannot_deploy	[[col:red]]Агентів не можна розміщувати в морі.[[/col]]	true
agent_localisations_text_agent_action_panel_outcomes_hinder_character_success	Зазначений персонаж поранений:	true
agent_localisations_text_agent_localisation_action_execution_status_cannot_sabotage_fully_damaged_building	[[col:red]]Не можна влаштувати диверсію в цій будівлі - вона вже зруйнована.\\n[[/col]]	true
agent_localisations_text_agent_action_result_strings_target	Ціль:	true
agent_localisations_text_agent_recruitment_no_agents_header	На даний момент агентів немає.	true
agent_localisations_text_general_attribute_tooltip_authority	Авторитет||Сила характеру полководця та його здатність вести війська в бій.	true
agent_localisations_text_general_profession_candidate	Кандидат	true
agent_localisations_text_agent_action_panel_outcomes_hinder_agent_success_critical	Зазначений агент піддався:	true
agent_localisations_text_agent_recruitment_building_required	Ви не зможете найняти цього агента, поки не зведете наступну споруду:	true
agent_localisations_text_agent_localisation_action_execution_status_targets_walls_of_garrison_without_walls	[[col:red]]У цього поселення немає стін.\\n[[/col]]	true
agent_localisations_text_agent_action_panel_champion_method_hinder_character	Замовне вбивство	true
agent_localisations_text_general_profession_retainer	Слуга	true
