key	text	tooltip
#Loc;1;text/db/quotes_people.loc		
quotes_people_quote_person_onscreen_pyrrhus	Пірр, цар Епірський (319 - 272 рр. до н.е.), - після перемоги при Аускулі	true
quotes_people_quote_person_onscreen_mk_hulagu_mamluk	Хулагу, ільхан держави Хулагуїдів (1218 - 1265 рр.), - мамлюкському султану	true
quotes_people_quote_person_onscreen_mk_saint_louis	Людовик IX Святий, король Франції (1214 - 1270 рр.)	true
quotes_people_quote_person_onscreen_mk_hypatian_codex	Іпатіївський літопис (XV століття)	true
quotes_people_quote_person_onscreen_tacitus_histories	Тацит, римський історик (56 - 117 рр. н.е.), - з «Історії»	true
quotes_people_quote_person_onscreen_shakespeare_titus	Вільям Шекспір, англійський драматург (1564 - 1616 рр.), - з трагедії «Тит Андроник»	true
quotes_people_quote_person_onscreen_mk_chand_bardai	Чанд Бардаї, індійський поет, з «Сказання про Притхвіраджа»	true
quotes_people_quote_person_onscreen_mk_martin_luther	Мартін Лютер, німецький чернець і богослов (1483 - 1546 рр.)	true
quotes_people_quote_person_onscreen_terence	Теренцій, драматург (195 - 159 рр. до н.е.)	true
quotes_people_quote_person_onscreen_mk_arnaud_amaury	Арнольд Амальрик, абат Сіто (1160 - 1225 рр.)	true
quotes_people_quote_person_onscreen_mk_roger_daflor	Рожер де Флор, ватажок Каталонської дружини	true
quotes_people_quote_person_onscreen_priscus	Приск (410 - 472 рр.), при дворі Аттіли	true
quotes_people_quote_person_onscreen_mk_shakespeare_henryVI	Вільям Шекспір, англійський драматург (1564 - 1616 рр.), - з п'єси «Генріх VI»	true
quotes_people_quote_person_onscreen_nero_mushrooms	Нерон, римський імператор (37 - 68 рр. н.е.), - про гриби, якими був отруєний Клавдій	true
quotes_people_quote_person_onscreen_marcian	Марціан (392 - 457 рр.), римський імператор	true
quotes_people_quote_person_onscreen_martial	Марціал, римський поет (бл. 40 - бл. 104 рр. н.е.)	true
quotes_people_quote_person_onscreen_mk_doge_dandolo	Енріко Дандоло, венеціанський дож (1107 - 1205 рр.)	true
quotes_people_quote_person_onscreen_mk_anon_ivan_aleksandar	Анонім про царя Івана Олександра (пом. 1371 р.)	true
quotes_people_quote_person_onscreen_mk_babur	Бабур, тимуридський падишах і падишах імперії Великих Моголів (1483 - 1530 рр.), - з «Бабур-наме»	true
quotes_people_quote_person_onscreen_maharbal_cannae	Магарбал, командир карфагенської кінноти (1-а і 2-а Пунічні війни), - про перемогу Ганнібала при Каннах	true
quotes_people_quote_person_onscreen_mk_timur	Тамерлан, воєначальник і завойовник (1336 - 1405 рр.)	true
quotes_people_quote_person_onscreen_phormio	Форміон, афінський полководець (бл. 428 р. до н.е.)	true
quotes_people_quote_person_onscreen_mk_shakespeare_richardIII	Вільям Шекспір, англійський драматург (1564 - 1616 рр.), - з п'єси «Річард III»	true
quotes_people_quote_person_onscreen_ambrose	Св. Амвросій (бл. 330 - 397 рр. н.е.)	true
quotes_people_quote_person_onscreen_archimedes_last	Архімед, грецький математик і інженер (287-212 рр. до н.е.), - перед загибеллю	true
quotes_people_quote_person_onscreen_mk_corneille_cid	П'єр Корнель, французький драматург (1606 - 1684 рр.), - з п'єси «Сід»	true
quotes_people_quote_person_onscreen_mk_michel_de_montaigne	Мішель де Монтень, французький філософ (1533 - 1592 рр.)	true
quotes_people_quote_person_onscreen_mk_jean_joinville	Жан де Жуанвіль, французький історик (1224 - 1317 рр.)	true
quotes_people_quote_person_onscreen_mk_shakespeare_henryIV	Вільям Шекспір, англійський драматург (1564 - 1616 рр.), - з п'єси «Генріх IV»	true
quotes_people_quote_person_onscreen_alcaeus	Алкей, грецький поет (бл. 620 - бл. 580 рр. до н.е.)	true
