key	text	tooltip
#Loc;1;text/db/campaign_payload_ui_details.loc		
campaign_payload_ui_details_description_bel_pope_2	Нова особливість: Захисник віри	true
campaign_payload_ui_details_description_bel_pope_1	Нова особливість: Захисник гармонії	true
campaign_payload_ui_details_description_dummy_payload_viking_take_land_northumbria	Отримати владу над регіоном Нортумбрія.	true
campaign_payload_ui_details_description_dummy_pope_ancillary	Папа прибув до двору Карла Великого.	true
campaign_payload_ui_details_description_bel_antonina_gems_1	Удар по репутації	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_2	Можливо, дрібного ремонту вистачить, щоб запобігти прориву греблі...	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_3	Капітальний ремонт з великою ймовірністю дозволить уникнути серйозних збитків.	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_1	Залишивши греблю без уваги, ви заощадите гроші, але справа може закінчитися повенню...	true
campaign_payload_ui_details_description_att_eos_marib_dam_repair_4	Відремонтувавши греблю повністю, ви усунете загрозу і порадуєте селян.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_1	Він вирваний з мертвих рук ворожого володаря.	true
campaign_payload_ui_details_description_dummy_ybor_level_A_choice_2	Жерці кажуть, що вона дарує мудрість і захист Годана.	true
campaign_payload_ui_details_description_cha_carloman_succession_1_war	Скоро між вами почнеться війна.	true
campaign_payload_ui_details_description_dummy_venedi_1_repeat	Ми можемо заплатити гунам велику данину. Тоді вони залишать нас у спокої.	true
campaign_payload_ui_details_description_dummy_venedi_2_repeat	Якщо ми дамо гунам багато їжі, вони залишать нас у спокої.	true
campaign_payload_ui_details_description_dummy_venedi_3_repeat	Якщо ми не дамо гунам нічого, вони точно розгніваються.	true
campaign_payload_ui_details_description_dummy_payload_joyeuse	Карл Великий отримує свій легендарний меч Жуаез!	true
campaign_payload_ui_details_description_att_mission_accepted_dummy	Нове завдання	true
campaign_payload_ui_details_description_att_mission_rejected_dummy	Відмова від завдання	true
campaign_payload_ui_details_description_adopt	Персонаж прийнятий в сім'ю: %2%	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_1	У його чорній гладі відбиваються всі таємниці людей.	true
campaign_payload_ui_details_description_dummy_ollam_ri_picti_choice_2	Вікові дерева несуть життя хоробрим і смерть необережним.	true
campaign_payload_ui_details_description_dummy_payload_unforeseen_consequences	Можуть бути непередбачені наслідки...	true
campaign_payload_ui_details_description_bel_photius_1	Збільшення доходів	true
campaign_payload_ui_details_description_damage_buildings_home_region	Пошкодження будівель	true
