key	text	tooltip
#Loc;1;text/db/formations.loc		
formations_tooltip_triple_line_melee	Широка потрійна лінія ближнього бою||У цьому шикуванні війська стоять у три лінії: піхота ближнього бою попереду, стрільці в середині, а кіннота замикає стрій.	true
formations_name_spear	Спис	true
formations_name_wedge	Клин	true
formations_tooltip_double_line_land	Подвійна лінія||Розбиває загони на дві лінії, не розподіляючи їх за типом.	true
formations_description_simplex_acies	Основне шикування армії з розімкнутим строєм списоносців у першому ряду, розташованої в правильному порядку піхоти ближнього бою за ними, кіннотою позаду і стрільцями попереду всіх.	true
formations_description_triplex_acies	При цьому шикуванні піхота ближнього бою розташовується в три лінії; найлегше озброєні загони знаходяться попереду, а списоносці ззаду. Стрільці утворюють передову лінію, а кіннота зосереджена в тилу і на флангах.	true
formations_description_double_acies	Шикування з двома широко рознесеними лініями піхоти ближнього бою. По флангах розташовані списоносці, в тилу - кіннота. Стрільці-піхотинці прикривають стрій по фронту.	true
formations_description_column	У цьому шикуванні війська утворюють колону на чолі зі стрільцями-піхотинцями. Піхота ближнього бою займає середину, кіннота знаходиться в тилу. Зручне шикування для форсування річок і міських боїв.	true
formations_tooltip_mis_light_centre	Фланговий стрілецький стрій ||Потужна група стрілецьких кораблів в центрі, а кораблі для ближнього бою обходять противника з флангів.||Чим далі від центру, тим важчі кораблі.	true
formations_tooltip_double_line_sorted	Упорядкована подвійна лінія||У цьому шикуванні війська стоять у дві лінії: стрільці в першому ряду, а піхота ближнього бою в другому. Кіннота прикриває фланги.	true
formations_tooltip_mis_heavy_centre	Важкий стрілецький стрій||Це шикування дозволяє вам розладнати центр противника вогнем метальних знарядь, після чого великі кораблі для ближнього бою атакують його з флангів.||Чим ближче до центру, тим важчі кораблі.	true
formations_description_triple_line_missile	У цьому шикуванні війська стоять у три лінії: стрільці попереду, піхота ближнього бою в середині, а кіннота замикає стрій.	true
formations_name_triple_line_missile	Широка потрійна лінія стрільців	true
formations_name_triplex_acies	Потрійний ряд	true
formations_name_simplex_acies	Проста лінія	true
formations_description_double_sailing	PLACEHOLDER	true
formations_tooltip_crescent	Півмісяць||При шикуванні у вигляді півмісяця лінія кораблів вигнута всередину. Якщо кораблі противника атакують центр шикування, ви зможете взяти їх в кільце.	true
formations_name_double_line_sorted	Упорядкована подвійна лінія	true
formations_description_triple_line_cavalry	У цьому шикуванні війська стоять в три лінії: кіннота попереду, стрільці в середині, а піхота ближнього бою замикає стрій.	true
formations_tooltip_sailing	Лінія||Це звичайний бойовий порядок, в якому великі кораблі займають центр, а малі і кораблі з метальною зброєю - фланги.	true
formations_tooltip_mis_double_line	Подвійна лінія стрільців||Шеренг, що складається з двох ліній. У першій далекобійні кораблі, у другій - кораблі ближнього бою.	true
formations_tooltip_single_line_sorted	Упорядкована лінія ||Це просте шикування, при якому загони вишикувані в одну лінію. У центрі знаходиться піхота ближнього бою, поруч з нею стрільці, а кіннота прикриває фланги.	true
formations_name_single_line	Лінія	true
formations_description_single_line	Це просте шикування, при якому загони безладно вишикувані в одну лінію без урахування їх типу. Вона стане в нагоді, якщо потрібно швидко вишикувати загони в лінію.	true
formations_name_single_line_sorted	Упорядкована лінія	true
