key	text	tooltip
#Loc;1;text/db/building_short_description_texts.loc		
building_short_description_texts_short_description_cha_bld_barracks_1	З списами натовп бореться краще, ніж з порожніми руками.	true
building_short_description_texts_short_description_cha_bld_barracks_2	Вчіться старанно, боріться гідно. Якщо пощастить, залишитеся в живих.	true
building_short_description_texts_short_description_cha_bld_barracks_3	Дехто з вас загине, але ця жертва є прийнятною для мене.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_1	Боги люблять сміливців, які шукають лісові багатства.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_2	Плем'я має бути вдячне тим, хто пролив за нього кров.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_3	Нехай забарвиться кров'ю цей вівтар.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_4	Схиліться перед Лютим - і все буде добре.	true
building_short_description_texts_short_description_att_bld_religion_germanic_major_5	Наповнюйтеся духом Годана, що надихає на перемогу!	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_2	Лук, вирізаний рукою майстра з міцної деревини, подібний до хребта вершника.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_3	Ніхто не вміє обробляти дерево краще за досвідченого столяра.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_carpenter_4	Хитромудрі пристосування на благо народу і на горе ворогам.	true
building_short_description_texts_short_description_cha_bld_church_school_1	Поліпшення життя через поширення знань угодне Христу.	true
building_short_description_texts_short_description_cha_bld_church_school_2	Ті, хто зберігає знання, повинні ділитися ними.	true
building_short_description_texts_short_description_bel_bld_camp_workshop_1	Тут можуть зробити все, що знадобиться в поході.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_3	Юрта виглядає примітивно, але вона - душа кочівника.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_2	Юрта - будинок кочівника в суворому степу. Як і будь-який будинок, вона потребує догляду.	true
building_short_description_texts_short_description_att_bld_nomad_artisan_yurthmaker_4	Ця юрта - не для простої людини...	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_3	Душевний спокій близько: до нього всього 15 метрів мотузки і одна молитва.	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_2	З цього піднесення великий святий доносить мудрість Господню до тих, хто стоїть внизу.	true
building_short_description_texts_short_description_att_bld_eos_religion_east_church_minor_1	Подвиг цього відлюдника воістину великий, але що буде, якщо у нас закінчиться хліб?	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_4	Коли багато рук, робота йде швидко.	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_2	Мудра людина кладе всі яйця в один кошик і стежить за ним обома очима.	true
building_short_description_texts_short_description_att_bld_barbarian_industry_basketweaver_3	Мистецтво плетіння кошиків передається з покоління в покоління.	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_2	Мудрий пастух стежить за своїм стадом день і ніч.	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_3	Стадо - це не тільки багато м'яса...	true
building_short_description_texts_short_description_att_bld_barbarian_farm_livestock_4	Велике стадо - ознака багатства.	true
