key	text	tooltip
#Loc;1;text/db/character_skills.loc		
character_skills_localised_name_att_skill_background_champion_elite_nomadic	Великий воїн	true
character_skills_localised_name_cha_skill_general_motivator	Натхненник	true
character_skills_localised_description_att_skill_background_general_merchant_roman	Його не хвилює батьківщина, дружба чи віра. Для нього важливі тільки гроші.	true
character_skills_localised_name_att_trad_army_roman_4_nomad_hunters	Кочові мисливці	true
character_skills_localised_description_att_skill_background_spy_agriculture_nomadic	Деякі тварини рівніші за інших.	true
character_skills_localised_name_mk_skill_priest_belief_islam	Віра	true
character_skills_localised_description_att_trad_navy_roman_1_coastal_patrol	У рідних водах ці мореплавці не мають рівних.	true
character_skills_localised_name_att_skill_background_champion_marine_eastern	Пірат	true
character_skills_localised_name_mk_skill_priest_belief_pagan	Віра	true
character_skills_localised_description_att_skill_background_priest_militarist_eastern	Ну, думаю, що мир можливий, але ж можлива і війна!	true
character_skills_localised_description_cha_trad_army_cavalry_training	Кращі полководці походять тільки з найзнатніших родин.	true
character_skills_localised_name_att_skill_background_champion_scout_nomadic	Слідопит	true
character_skills_localised_name_cha_skill_priest_back_elder	Старійшина	true
character_skills_localised_description_cha_trad_army_looters	Не залишати по собі нічого, окрім поживи для воронів.	true
character_skills_localised_name_cha_skill_spy_local_agents	Місцеві агенти	true
character_skills_localised_description_att_agent_skills_champion_skirmishing	Під безперервним градом стріл могутність ворогів швидко перетворюється на попіл.	true
character_skills_localised_description_att_skill_background_champion_standard_bearer_eastern	Він з гордістю несе прапор великої і переможної держави.	true
character_skills_localised_name_att_skill_background_wife_roman_noble	Знатна	true
character_skills_localised_description_bel_trad_army_roman_3_attacking_enemy	Наблизившись впритул до ворога, можна виграти битву ще до першого удару.	true
character_skills_localised_name_att_skill_background_champion_aide_camp_roman	Військовий трибун	true
character_skills_localised_description_att_skill_background_priest_benefactor_eastern	Ця людина простежить, щоб миші не бешкетували навіть за відсутності кішки.	true
character_skills_localised_description_att_trad_army_eastern_4_savaran_regime	Море вершників, очолюваних знаттю, затопить весь світ.	true
character_skills_localised_name_att_skill_background_general_handler_eastern	Приборкувач	true
character_skills_localised_name_att_trad_army_roman_4_heavy_training	Тренування важких військ	true
character_skills_localised_description_att_trad_army_barbarian_4_bane_east	Блискучі вежі впадуть перед мечем присягнутого.	true
character_skills_localised_description_cha_trad_navy_double_planking	Дві дошки міцніші за одну, чи не так?	true
character_skills_localised_description_att_skill_background_spy_agriculture_barbarian	Деякі тварини рівніші за інших.	true
character_skills_localised_name_att_trad_navy_barbarian_3_dauntless_navigators	Безстрашні мореплавці	true
character_skills_localised_description_att_trad_army_nomadic_5_scourge_world	Поглянь на них і побач свою долю.	true
character_skills_localised_name_att_agent_skills_champion_marauding	Наліт	true
character_skills_localised_description_att_skill_background_general_scholar_eastern	Книги - найвеличніша зброя у війні з невіглаством.	true
character_skills_localised_description_cha_skill_general_tactician	Хороший тактик завжди думає на багато ходів вперед.	true
character_skills_localised_description_cha_skill_priest_spiritual_leadership	Сліпий прозріє! Глухий почує!	true
character_skills_localised_name_att_skill_background_wife_civilised_educated	Освічена	true
character_skills_localised_description_att_skill_background_priest_spiritual_leader_nomadic	Зверни погляд на свої гріхи; ніч темна і сповнена кошмарів.	true
character_skills_localised_description_att_skill_background_general_merchant_eastern	Його не хвилює батьківщина, дружба чи віра. Для нього важливі тільки гроші.	true
character_skills_localised_description_att_skill_background_wife_roman_sharp_tongue	Чому всі так носяться з цим товстим боровим - Флатом Максимом? А-а, нехай слухає.	true
character_skills_localised_description_cha_skill_general_back_supply	Війни виграють не тільки солдати, але і зброя. І ще продовольство.	true
character_skills_localised_description_cha_skill_general_back_patron	Це прекрасна споруда. Так. Красива. Дайте десять.	true
character_skills_localised_name_att_trad_army_eastern_2_nomad_hunters	Кочові мисливці	true
character_skills_localised_description_att_trad_navy_roman_2_naval_logistics	Все повинно бути в порядку і готове до відплиття.	true
character_skills_localised_description_att_agent_skills_champion_ruse	Дивіться! Триголова мавпа!	true
character_skills_localised_name_mk_skill_general_back_scholar	Вчений	true
character_skills_localised_description_att_skill_background_champion_assassin_nomadic	Я стану твоїм захисником.	true
character_skills_localised_name_att_agent_skills_spy_military_infiltration	Проникнення у війська	true
character_skills_localised_name_att_skill_background_wife_roman_sharp_tongue	Гострий язик	true
character_skills_localised_description_att_skill_background_champion_scout_eastern	Дорога попереду ховається в темряві. Я освітлю її.	true
character_skills_localised_name_cha_skill_general_back_entrepeneur	Підприємець	true
character_skills_localised_name_mk_skill_general_tactician	Хороший тактик	true
