key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names.loc		
battlefield_buildings_names_onscreen_name_building	Будівля	true
battlefield_buildings_names_onscreen_name_arrow_tower	Вежа лучників	true
battlefield_buildings_names_local_effects_description_scorpio_tower	Обстрілює найближчих ворогів	true
battlefield_buildings_names_onscreen_name_fort_tower	Фортечна вежа	true
battlefield_buildings_names_onscreen_name_gate_oil	Штурмові ворота (масло)	true
battlefield_buildings_names_local_effects_description_gate	Регулює вхід до поселення	true
battlefield_buildings_names_onscreen_name_watchtower	Вартова вежа	true
battlefield_buildings_names_onscreen_name_barricade	Барикада	true
battlefield_buildings_names_onscreen_name_fort_wall	Фортечна стіна	true
battlefield_buildings_names_local_effects_description_gate_oil	Обливає найближчих ворогів киплячою смолою	true
battlefield_buildings_names_local_effects_description_barricade	Перегороджує шлях військам, поки не буде знищена.	true
battlefield_buildings_names_onscreen_name_bridge	Міст	true
battlefield_buildings_names_onscreen_name_house	Будинок	true
battlefield_buildings_names_local_effects_description_watchtower	Обстрілює найближчих ворогів	true
battlefield_buildings_names_onscreen_name_ruin	Руїни	true
battlefield_buildings_names_onscreen_name_scorpio_tower	Вежа зі скорпіоном	true
battlefield_buildings_names_onscreen_name_gate	Штурмові ворота	true
battlefield_buildings_names_local_effects_description_fort_tower	Обстрілює найближчих ворогів	true
battlefield_buildings_names_local_effects_description_arrow_tower	Обстрілює найближчих ворогів	true
